Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Nobody,Babylon (Revised Online Music),Skindred,2004-08-31,236013,60,0.018,0.627,0.91,0.0,0.369,-4.629,0.052,97.867,4
Sun Doesn't Rise,XIII,Mushroomhead,2003-01-01,193813,60,8.82e-05,0.376,0.988,6.36e-05,0.346,-2.375,0.216,192.153,4
Eat You Alive,Results May Vary,Limp Bizkit,2003-01-01,236333,60,0.000769,0.328,0.868,0.000584,0.164,-4.717,0.0718,135.582,4
Omerta,Ashes of the Wake (15th Anniversary),Lamb of God,2004-08-31,285962,60,0.00242,0.413,0.982,0.00112,0.323,-4.079,0.201,118.504,4
Amerika,"Reise, Reise",Rammstein,2004-09-27,226760,60,0.00258,0.608,0.885,1.33e-05,0.392,-4.296,0.0963,125.023,4
Carrion,Horizons (Deluxe Edition),Parkway Drive,2009-09-22,187960,60,0.000275,0.228,0.969,0.0,0.0982,-4.07,0.1,155.212,4
Guardians Of Asgaard,Twilight Of The Thunder God,Amon Amarth,2008-09-30,263160,59,0.000129,0.529,0.953,0.000487,0.146,-4.562,0.0594,134.968,4
Revolution Is My Name,Reinventing the Steel,Pantera,2000-01-01,316493,59,6.17e-05,0.243,0.988,0.12,0.341,-3.485,0.197,89.905,4
Nemesis,Doomsday Machine,Arch Enemy,2005-07-13,252280,59,5.79e-05,0.246,0.954,0.291,0.126,-3.811,0.0975,97.553,4
I Only Wanna Be With You,The Strength / The Sound / The Songs,Volbeat,2013-04-15,164093,59,6.29e-06,0.429,0.991,0.0137,0.0389,-4.824,0.0871,137.951,4
Distortion Sleep,Figure Number Five,Soilwork,2003-04-21,225933,58,7.76e-05,0.368,0.949,0.00429,0.0341,-6.178,0.141,160.27,4
Jumpdafuckup,Primitive (Special Edition),Soulfly,2000-01-01,311986,58,0.00951,0.598,0.954,2.86e-05,0.127,-4.86,0.0801,100.98,4
Linchpin,Digimortal,Fear Factory,2001-04-16,204853,58,0.00358,0.693,0.871,2.01e-05,0.11,-3.389,0.0844,111.989,4
The Pursuit Of Vikings,Fate of Norns,Amon Amarth,2004,270253,58,6.59e-05,0.506,0.967,0.41,0.167,-2.973,0.0451,129.704,4
Sad Man's Tongue,Rock The Rebel / Metal The Devil,Volbeat,2007-02-26,185826,58,3.56e-05,0.434,0.959,0.000941,0.171,-4.375,0.0429,109.938,4
Murmaider,The Dethalbum,Metalocalypse: Dethklok,2007-09-25,204360,58,0.000643,0.407,0.863,0.591,0.128,-7.968,0.0704,113.98,3
Move,The Art Of Breaking,Thousand Foot Krutch,2005-01-01,208693,58,0.00109,0.531,0.836,0.0,0.0447,-5.204,0.101,169.171,4
Rasputin,Rasputin,Turisas,2007-08-31,233520,57,8.08e-05,0.262,0.928,4.76e-05,0.195,-2.795,0.0894,161.925,4
Right Side Of The Bed,The Curse (Deluxe Edition),Atreyu,2004-06-28,222466,57,0.00179,0.253,0.924,0.00856,0.281,-4.83,0.162,171.971,4
Angels,The Silent Force,Within Temptation,2004-11-12,240440,57,0.293,0.341,0.867,0.0,0.257,-4.727,0.0492,182.032,4
Blacklist,Tempo of the Damned,Exodus,2004-02-02,376920,57,0.000359,0.534,0.969,0.564,0.269,-3.378,0.0535,75.005,4
Panic Attack,Octavarium,Dream Theater,2005-06-06,493026,57,3.93e-05,0.494,0.96,0.00519,0.113,-5.478,0.126,125.969,4
Ich tu dir weh,Liebe ist für alle da,Rammstein,2009-10-16,301853,57,0.00112,0.295,0.878,0.191,0.113,-5.034,0.0541,165.083,3
I Will Be Heard,Perseverance,Hatebreed,2002-01-01,178666,56,7.21e-05,0.585,0.907,0.0,0.0682,-4.787,0.102,92.634,4
Get Up Again,Through The Eyes,Flaw,2001-10-30,176600,56,3.3e-06,0.439,0.894,0.0211,0.0905,-6.396,0.0517,96.106,4
The Quiet Place,Soundtrack to Your Escape (The Quiet Place Version),In Flames,2004,225026,56,0.00033,0.517,0.961,0.321,0.698,-5.314,0.143,104.747,4
Angel,Angel Of Retribution,Judas Priest,2005-02-28,264200,56,0.014,0.532,0.441,0.0,0.11,-7.86,0.0243,83.998,4
Nothing Left,An Ocean Between Us,As I Lay Dying,2007-08-21,223653,56,6.34e-05,0.388,0.979,0.0567,0.663,-4.389,0.176,183.905,4
Enjoy the Silence - cover version,Karmacode,Lacuna Coil,2006,245573,56,0.000984,0.503,0.667,0.027,0.229,-6.831,0.0285,113.018,4
In the Name of Tragedy,Inferno,Motörhead,2004-06-22,183640,56,0.000106,0.449,0.994,2.13e-06,0.102,-4.836,0.0824,149.91,4
The art of dying,The way of all flesh,Gojira,2008-10-13,594213,56,0.000308,0.493,0.83,0.543,0.102,-5.983,0.105,137.967,4
Destroy Everything,Supremacy,Hatebreed,2006-07-27,209066,56,0.00253,0.666,0.942,0.0,0.114,-3.356,0.0591,110.019,4
Ghostriders in the Sky,Friede sei mit Dir,Die Apokalyptischen Reiter,2006-05-19,211095,55,0.00592,0.417,0.958,0.000255,0.11,-3.604,0.122,129.933,4
Lay Down,Hello Master,Priestess,2006-06-13,185800,55,0.00128,0.52,0.886,0.0,0.0846,-2.387,0.0454,121.945,4
I Am Loco,Revolution Revolucion,Ill Niño,2001-09-10,210533,55,0.000602,0.516,0.945,0.0683,0.0841,-4.202,0.0979,174.756,4
La Grange - 2005 Remaster,Tres Hombres (Expanded 2006 Remaster),ZZ Top,1973-07-26,230480,78,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,80.544,4
Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition),Fleetwood Mac,1987-04-13,226653,80,0.258,0.73,0.487,0.01,0.0852,-10.991,0.0303,114.965,4
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,1976-12-08,391376,85,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,4
Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,1969-10-22,333893,77,0.0484,0.412,0.902,0.131,0.405,-11.6,0.405,89.74,4
Back In Black,Back In Black,AC/DC,1980-07-25,255493,84,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386,4
Creep,Pablo Honey,Radiohead,1993-02-22,238640,86,0.0097,0.515,0.43,0.000133,0.129,-9.935,0.0372,91.844,4
Panama - 2015 Remaster,1984 (Remastered),Van Halen,1984-01-04,210226,75,0.00122,0.526,0.978,4.75e-05,0.0744,-5.436,0.108,141.167,4
Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980-06-27,214653,73,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,109.975,4
Everlong,The Colour And The Shape,Foo Fighters,1997-05-20,250546,85,5.99e-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,158.066,4
Livin' On A Prayer,Slippery When Wet,Bon Jovi,1986-08-16,249293,85,0.0778,0.532,0.887,0.000214,0.294,-3.757,0.0335,122.511,4
Dream On,Aerosmith,Aerosmith,1973-01-05,266960,88,0.388,0.307,0.433,9.08e-05,0.332,-10.057,0.029,160.9,4
Born to Run,Born To Run,Bruce Springsteen,1975-08-25,269920,73,0.00501,0.27,0.944,2.05e-05,0.116,-4.199,0.0975,146.347,4
Enter Sandman (Remastered),Metallica (Remastered),Metallica,1991-08-12,331560,77,0.00277,0.566,0.834,0.008,0.0625,-8.412,0.0298,123.296,4
Sultans of Swing,Dire Straits,Dire Straits,1978-10-07,350400,67,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217,4
Where The Streets Have No Name - Remastered,The Joshua Tree (Super Deluxe),U2,1987-03-03,337505,69,0.00976,0.49,0.724,0.0046,0.159,-9.581,0.0366,125.812,4
Fortunate Son,Willy And The Poor Boys (Expanded Edition),Creedence Clearwater Revival,1969-11-02,140773,84,0.201,0.64,0.663,0.00806,0.152,-7.516,0.0374,132.77,4
Barracuda,Little Queen,Heart,1977-05-14,261933,74,0.015,0.548,0.691,0.106,0.144,-13.553,0.0369,137.145,4
Comfortably Numb,The Wall,Pink Floyd,1979-11-30,382296,74,0.15,0.472,0.366,0.312,0.0837,-12.595,0.0286,127.163,4
Come As You Are,Nevermind (Remastered),Nirvana,1991-09-26,218920,77,0.00016,0.5,0.824,0.00161,0.0916,-5.846,0.0388,120.125,4
Welcome To The Jungle,Appetite For Destruction,Guns N' Roses,1987-07-21,273480,74,0.0195,0.453,0.987,0.283,0.268,-4.485,0.0889,123.544,4
Long Cool Woman (In a Black Dress) - 1999 Remaster,Distant Light (1999 Remaster),The Hollies,1971-10-08,199200,67,0.411,0.757,0.868,0.00221,0.355,-9.326,0.062,138.923,4
You Shook Me All Night Long,Back In Black,AC/DC,1980-07-25,210173,82,0.00287,0.532,0.767,0.000513,0.39,-5.509,0.0574,127.361,4
Gimme Shelter,Let It Bleed,The Rolling Stones,1969-12-05,270773,77,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628,4
Rebel Rebel - 2016 Remaster,Diamond Dogs (2016 Remaster),David Bowie,1974-05-24,274746,73,0.209,0.635,0.686,0.0176,0.282,-15.648,0.053,125.988,4
Mary Jane's Last Dance,Greatest Hits,Tom Petty and the Heartbreakers,2008-05-20,273600,73,0.0272,0.464,0.655,1.34e-06,0.328,-9.058,0.0608,169.515,4
The Chain - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,270213,81,0.009,0.545,0.67,0.000822,0.0451,-8.81,0.0496,151.553,4
